supplier,region,fiscal_year,fiscal_quarter,latest_q_dispatch_MT,trailing_4q_avg_MT,our_share_pct,decline_risk,risk_band,forecast_next_q_MT,expected_next_q_MT
RCA Coirs,Madurai,2027,FQ1,20.0,38.25,0.0,0.398,Low,41.5,28.8
Sri Bannaraiamman Fibers,Salem,2027,FQ1,50.0,12.5,0.0,0.397,Low,11.3,8.1
Sam Coir,Madurai,2027,FQ1,31.0,37.5,0.0,0.395,Low,40.7,28.3
Venus Coir,Kangeyam,2027,FQ1,169.0,229.75,0.0,0.395,Low,227.3,160.1
Sri Varsan Coirs,Pollachi,2027,FQ1,248.0,262.75,0.0,0.395,Low,140.1,110.7
Shobiya Fibers,Madurai,2027,FQ1,16.0,21.0,0.0,0.394,Low,22.8,15.9
Balaji Coir Pith,Kangeyam,2027,FQ1,440.0,569.75,0.0,0.394,Low,563.7,397.7
Shri Venkateswara Coirs,Madurai,2027,FQ1,6.0,12.5,0.0,0.394,Low,13.6,9.5
PAS Fibers,Peravurani,2027,FQ1,125.0,153.0,0.0,0.393,Low,178.4,123.3
Akshya Coirs,Salem,2027,FQ1,189.0,200.5,0.0,0.393,Low,180.7,129.4
ASP Coir,Madurai,2027,FQ1,38.0,54.75,0.0,0.392,Low,59.4,41.5
Katalai Mariyamman Fibre,Kangeyam,2027,FQ1,25.0,51.5,0.0,0.391,Low,50.9,36.0
Suriya Farms,Madurai,2027,FQ1,52.0,53.25,0.0,0.39,Low,57.8,40.4
Lakshmi Pith Block,Kangeyam,2027,FQ1,423.0,551.5,5.674,0.39,Low,545.6,386.8
PK Coir,Pollachi,2027,FQ1,70.0,35.0,28.571,0.389,Low,18.7,14.8
Cloud Eco Products ltd,Kangeyam,2027,FQ1,23.0,10.75,0.0,0.389,Low,10.6,7.5
Sanjana Coir,Salem,2027,FQ1,50.0,12.5,0.0,0.389,Low,11.3,8.1
AB Coir,Kangeyam,2027,FQ1,25.0,36.0,0.0,0.389,Low,35.6,25.3
Horpiflora Pith,Madurai,2027,FQ1,43.0,42.5,0.0,0.389,Low,46.1,32.3
Vinayaga Fibers,Pollachi,2027,FQ1,38.0,41.25,47.368,0.389,Low,22.0,17.5
Ayyanar Coir,Madurai,2027,FQ1,5.0,5.5,0.0,0.388,Low,6.0,4.2
Sri Pathi Coir Industries,Madurai,2027,FQ1,5.0,7.5,0.0,0.388,Low,8.1,5.7
Truth Fibers,Madurai,2027,FQ1,45.0,65.25,0.0,0.387,Low,70.8,49.7
K R R Fibers,Madurai,2027,FQ1,16.0,12.5,0.0,0.387,Low,13.6,9.5
LNF Coir,Kangeyam,2027,FQ1,50.0,70.75,0.0,0.387,Low,70.0,49.8
Sabrina Coir,Peravurani,2027,FQ1,13.0,15.75,0.0,0.387,Low,18.4,12.8
Mahajothi Fibre,Kangeyam,2027,FQ1,82.0,119.75,0.0,0.386,Low,118.5,84.3
Appan Coir,Pollachi,2027,FQ1,173.0,133.5,0.0,0.386,Low,71.2,56.6
Jupiter Fibre,Kangeyam,2027,FQ1,47.0,51.0,0.0,0.385,Low,50.5,36.0
AKS FIBER,Madurai,2027,FQ1,13.0,14.75,0.0,0.384,Low,16.0,11.3
Sri Murugan Coir Pith Blocks,Kangeyam,2027,FQ1,25.0,30.5,0.0,0.384,Low,30.2,21.5
Chellam Fibre,Madurai,2027,FQ1,62.0,68.0,0.0,0.383,Low,73.8,52.0
RPG Coir/Velavan Coir,Kangeyam,2027,FQ1,99.0,116.0,0.0,0.383,Low,114.8,81.9
Gohila Coir & Fiber Industry,Madurai,2027,FQ1,45.0,47.5,0.0,0.383,Low,51.6,36.4
RR Coir Industries,Peravurani,2027,FQ1,12.0,6.0,0.0,0.382,Low,7.0,4.9
Mariya Pushpam Coir Pith,Madurai,2027,FQ1,10.0,2.5,0.0,0.381,Low,2.7,1.9
Udhayam Coir & Fiber,Peravurani,2027,FQ1,13.0,9.25,0.0,0.381,Low,10.8,7.6
Anamalai Coirs,Pollachi,2027,FQ1,111.0,83.75,36.937,0.381,Low,44.7,35.6
MKA Coir Industries,Madurai,2027,FQ1,27.0,24.25,0.0,0.381,Low,26.3,18.6
Sindhu Fiber,Pollachi,2027,FQ1,393.0,468.25,34.606,0.381,Low,249.7,199.2
(Ramesh M) M R Fiber,Madurai,2027,FQ1,56.0,57.0,0.0,0.38,Low,61.9,43.8
Sri Natha Coirs,Madurai,2027,FQ1,148.0,182.75,0.0,0.38,Low,198.4,140.4
Venkateshwara Trader,Peravurani,2027,FQ1,14.0,3.5,0.0,0.38,Low,4.1,2.9
Fathima Fibers,Madurai,2027,FQ1,114.0,135.0,0.0,0.379,Low,146.5,103.7
Sowabarnicka Fibers,Peravurani,2027,FQ1,24.0,16.0,0.0,0.379,Low,18.7,13.1
Sri Ponbala Coir,Kangeyam,2027,FQ1,25.0,12.25,0.0,0.379,Low,12.1,8.7
RRR Coir,Madurai,2027,FQ1,36.0,31.75,0.0,0.378,Low,34.5,24.4
AGP Coir,Pollachi,2027,FQ1,98.0,91.0,48.98,0.378,Low,48.5,38.8
Chidhu Pith Blocks,Pollachi,2027,FQ1,170.0,101.25,0.0,0.378,Low,54.0,43.2
RR Coirs,Kangeyam,2027,FQ1,44.0,38.25,0.0,0.377,Low,37.8,27.1
Vishnu Coirs,Kangeyam,2027,FQ1,122.0,175.0,38.525,0.376,Low,173.1,124.4
Uthayam Fibers,Peravurani,2027,FQ1,20.0,5.0,0.0,0.376,Low,5.8,4.1
Eco Max,Pollachi,2027,FQ1,250.0,247.5,10.0,0.376,Low,132.0,105.6
JJ Coco Products,Madurai,2027,FQ1,132.0,162.0,0.0,0.376,Low,175.8,125.0
M P N Fibers,Madurai,2027,FQ1,64.0,67.25,0.0,0.375,Low,73.0,51.9
Karthikeyan Coir,Kangeyam,2027,FQ1,74.0,115.75,32.432,0.374,Low,114.5,82.5
Sai Sarasvathi Coirs,Madurai,2027,FQ1,110.0,104.5,0.0,0.374,Low,113.4,80.8
Lakshmi Coir,Kangeyam,2027,FQ1,24.0,6.0,0.0,0.374,Low,5.9,4.3
Kumaran Industry,Kangeyam,2027,FQ1,241.0,213.5,0.0,0.373,Low,211.2,152.3
SP Coir Products,Kangeyam,2027,FQ1,25.0,6.25,0.0,0.373,Low,6.2,4.5
Sri Amman Coir,Kangeyam,2027,FQ1,249.0,248.5,0.0,0.372,Low,245.8,177.4
Abi Coir,Kangeyam,2027,FQ1,124.0,143.0,0.0,0.372,Low,141.5,102.1
Ragavandra Fibers,Pollachi,2027,FQ1,224.0,197.0,11.161,0.372,Low,105.1,84.3
Kamatchiyaamman Coir,Kangeyam,2027,FQ1,46.0,80.5,0.0,0.372,Low,79.6,57.5
Sri Nisha Coco Peat (70-30) Rajakamangalam,Madurai,2027,FQ1,300.0,359.5,0.0,0.371,Low,390.2,278.7
Baby Coir,Kangeyam,2027,FQ1,123.0,134.25,0.0,0.37,Low,132.8,96.0
Sri Krishna Industries,Pollachi,2027,FQ1,306.0,276.5,8.17,0.37,Low,147.5,118.5
A R Coir,Pollachi,2027,FQ1,48.0,12.0,47.917,0.37,Low,6.4,5.1
Anand International,Salem,2027,FQ1,224.0,208.5,0.0,0.369,Low,187.9,137.8
Durai Kalai Coir,Kangeyam,2027,FQ1,149.0,155.5,0.0,0.369,Low,153.8,111.4
KCK Coirs,Madurai,2027,FQ1,16.0,6.0,0.0,0.368,Low,6.5,4.7
K A N Coir Products,Madurai,2027,FQ1,136.0,157.0,0.0,0.367,Low,170.4,122.3
MKS Fibre,Peravurani,2027,FQ1,35.0,8.75,0.0,0.367,Low,10.2,7.3
Ponbala Coir,Kangeyam,2027,FQ1,50.0,42.25,0.0,0.367,Low,41.8,30.4
Nathan Industries,Peravurani,2027,FQ1,35.0,17.75,0.0,0.366,Low,20.7,14.7
ATR Coirs (HEC),Madurai,2027,FQ1,45.0,11.25,0.0,0.366,Low,12.2,8.8
Sri Vishnu Coir pith Blocks,Kangeyam,2027,FQ1,83.0,74.25,0.0,0.366,Low,73.5,53.4
Velmurugan Coco Peat,Kangeyam,2027,FQ1,321.0,405.25,0.0,0.366,Low,400.9,291.2
Laxmi Coir Industries,Madurai,2027,FQ1,47.0,30.25,0.0,0.366,Low,32.8,23.6
Balaji Coir Pith-Udumal,Kangeyam,2027,FQ1,355.0,500.419,29.577,0.366,Low,495.1,359.7
RBS Fiber,Kangeyam,2027,FQ1,50.0,12.5,0.0,0.365,Low,12.4,9.0
SVF Coco peat,Pollachi,2027,FQ1,141.0,151.5,46.809,0.365,Low,80.8,65.1
Gowtham Coir,Kangeyam,2027,FQ1,86.0,65.0,0.0,0.365,Low,64.3,46.8
Aarudra Coco Products,Madurai,2027,FQ1,61.0,51.75,0.0,0.364,Low,56.2,40.5
Ananya Coco Pith,Madurai,2027,FQ1,51.0,36.75,0.0,0.363,Low,39.9,28.7
Raja Coir,Pollachi,2027,FQ1,197.0,125.75,12.183,0.363,Low,67.1,54.2
Arul Jothi Fibers,Kangeyam,2027,FQ1,84.0,88.25,0.0,0.362,Low,87.3,63.7
Palanimurugan Coir,Kangeyam,2027,FQ1,320.0,410.0,0.0,0.362,Low,405.6,295.9
Muthu Viravan Coco Fiber,Peravurani,2027,FQ1,79.0,58.5,0.0,0.361,Low,68.2,48.9
Aarha Export - Nochodampatti,Madurai,2027,FQ1,102.0,92.25,0.0,0.361,Low,100.1,72.3
KCA Fiber Industries,Kangeyam,2027,FQ1,45.0,11.25,0.0,0.36,Low,11.1,8.1
Amogam Exports,Madurai,2027,FQ1,106.0,82.0,0.0,0.36,Low,89.0,64.3
Uthis Coir,Pollachi,2027,FQ1,45.0,16.75,44.444,0.36,Low,8.9,7.2
Sri Arunachala Coir,Kangeyam,2027,FQ1,75.0,124.5,0.0,0.36,Low,123.2,90.1
Jai Vishnu Coirs,Kangeyam,2027,FQ1,125.0,93.5,0.0,0.36,Low,92.5,67.6
VICTORY Coir,Pollachi,2027,FQ1,19.0,44.75,100.0,0.359,Low,23.9,19.3
P.S Pith Block,Kangeyam,2027,FQ1,200.0,293.5,50.0,0.359,Low,290.4,212.5
Sri Vishnu Fibre Unit,Pollachi,2027,FQ1,297.0,280.0,8.418,0.359,Low,149.3,120.8
Sri Shakthi Coirs,Kangeyam,2027,FQ1,66.0,93.5,36.364,0.358,Low,92.5,67.7
SR fibre,Kangeyam,2027,FQ1,49.0,47.5,0.0,0.358,Low,47.0,34.4
Evergreen Fiber,Peravurani,2027,FQ1,79.0,52.75,0.0,0.358,Low,61.5,44.2
Sumathi Coir Industry,Salem,2027,FQ1,100.0,49.75,0.0,0.357,Low,44.8,33.2
Sree K.S Fibres,Kangeyam,2027,FQ1,199.0,203.5,25.126,0.356,Low,201.3,147.8
Amsaraja Fiber,Madurai,2027,FQ1,86.0,72.5,0.0,0.355,Low,78.7,57.2
Mattai Murgan Fibers,Madurai,2027,FQ1,124.0,125.25,0.0,0.355,Low,136.0,98.8
MICHEL COIR,Madurai,2027,FQ1,55.0,54.0,30.909,0.355,Low,58.6,42.6
Cumbum Fibers,Madurai,2027,FQ1,91.0,62.5,0.0,0.353,Low,67.8,49.4
Jeena Exports,Madurai,2027,FQ1,44.0,20.5,0.0,0.352,Low,22.3,16.2
Brown Hills Enterprises,Kangeyam,2027,FQ1,76.0,99.5,34.211,0.352,Low,98.4,72.6
SS Coir,Kangeyam,2027,FQ1,148.0,145.75,0.0,0.351,Low,144.2,106.3
AVM Hydro Farming Products,Pollachi,2027,FQ1,159.0,71.0,0.0,0.351,Low,37.9,30.8
Sri Mahalakshmi Coco Product,Pollachi,2027,FQ1,154.0,101.5,26.623,0.351,Low,54.1,44.0
Sri Ram Fibres,Pollachi,2027,FQ1,73.0,110.5,100.0,0.348,Low,58.9,48.0
JK Pith Industry,Peravurani,2027,FQ1,89.0,57.0,0.0,0.348,Low,66.5,48.3
Anudeep Coir,Kangeyam,2027,FQ1,100.0,53.0,0.0,0.348,Low,52.4,38.8
JK Coirs (LEC),Madurai,2027,FQ1,161.0,156.0,0.0,0.345,Low,169.3,124.3
MUM Fibers,Peravurani,2027,FQ1,143.0,123.5,0.0,0.345,Low,144.0,105.0
Go Green Coir,Salem,2027,FQ1,192.0,133.75,9.375,0.344,Low,120.6,90.6
Sri Ram Guru Coir,Kangeyam,2027,FQ1,160.0,119.75,0.0,0.343,Low,118.5,88.1
Veerakumara Coir,Pollachi,2027,FQ1,24.0,24.75,100.0,0.342,Low,13.2,10.8
Jairithanya Coir,Pollachi,2027,FQ1,126.0,98.25,59.524,0.341,Low,52.4,42.9
Sri Anoor Fibers,Kangeyam,2027,FQ1,313.0,279.25,14.058,0.341,Low,276.3,206.0
Jothi Coir,Peravurani,2027,FQ1,92.0,49.25,0.0,0.339,Low,57.4,42.1
Sai Coirs,Kangeyam,2027,FQ1,94.0,53.5,0.0,0.339,Low,52.9,39.5
Athanur Amman Coir,Kangeyam,2027,FQ1,167.0,153.0,14.371,0.339,Low,151.4,113.1
Sri Venkateswara Fibres,Pollachi,2027,FQ1,289.0,167.25,0.0,0.339,Low,89.2,73.1
Arulperumjothi Fibers,Kangeyam,2027,FQ1,75.0,31.0,0.0,0.338,Low,30.7,22.9
VKA Agro products,Kangeyam,2027,FQ1,245.0,321.5,29.388,0.338,Low,318.1,237.8
Victor Coco Pith,Madurai,2027,FQ1,76.0,61.0,21.053,0.338,Low,66.2,49.0
MSD Coir,Madurai,2027,FQ1,62.0,72.25,41.935,0.337,Low,78.4,58.1
Shivanni Coirs,Pollachi,2027,FQ1,593.0,548.25,0.0,0.337,Low,292.4,240.1
CS Coir,Kangeyam,2027,FQ1,263.0,225.25,0.0,0.336,Low,222.8,166.8
Raghavaa Fibre,Kangeyam,2027,FQ1,70.0,82.0,34.286,0.336,Low,81.1,60.7
India Coirs,Kangeyam,2027,FQ1,371.0,345.25,5.93,0.336,Low,341.6,255.8
Sabari Coir,Madurai,2027,FQ1,232.0,275.25,31.897,0.336,Low,298.8,221.6
Natural Coir Co,Pollachi,2027,FQ1,283.0,174.0,21.908,0.335,Low,92.8,76.3
L Hari Prakesh,Pollachi,2027,FQ1,177.0,101.5,19.209,0.334,Low,54.1,44.5
Anjaneya Coir,Madurai,2027,FQ1,140.0,112.0,0.0,0.334,Low,121.6,90.3
VV Curld Coir,Pollachi,2027,FQ1,45.0,41.75,100.0,0.334,Low,22.3,18.3
Anuradha Coir,Madurai,2027,FQ1,154.0,109.5,0.0,0.334,Low,118.9,88.4
Srinivasa Coco Products,Madurai,2027,FQ1,285.0,281.25,0.0,0.333,Low,305.3,227.1
Aarudhra Agro,Pollachi,2027,FQ1,20.0,5.0,100.0,0.332,Low,2.7,2.2
Modern Fibers,Madurai,2027,FQ1,143.0,109.5,0.0,0.332,Low,118.9,88.6
Velaa Fibres,Kangeyam,2027,FQ1,21.0,74.5,100.0,0.331,Low,73.7,55.5
Aahash Coir Products,Madurai,2027,FQ1,161.0,169.0,30.435,0.329,Low,183.4,137.0
TS Ashok Kumar Fibers (HEC),Madurai,2027,FQ1,242.0,219.0,0.0,0.328,Low,237.7,177.8
SAS Coco industries,Peravurani,2027,FQ1,131.0,87.75,10.687,0.327,Low,102.3,76.0
Siva Selvi Fibers,Kangeyam,2027,FQ1,625.0,702.169,12.0,0.327,Low,694.7,525.1
Mariah Coirs,Madurai,2027,FQ1,72.0,62.0,31.944,0.326,Low,67.3,50.4
Natraj Fibre,Kangeyam,2027,FQ1,294.0,243.5,0.0,0.325,Low,240.9,182.3
MMM Coir,Kangeyam,2027,FQ1,292.0,304.0,0.0,0.325,Low,300.8,227.8
Milman Coir Export,Salem,2027,FQ1,174.0,84.5,0.0,0.325,Low,76.2,58.3
Eligro Substrate Pvt Ltd,Madurai,2027,FQ1,110.0,61.25,0.0,0.324,Low,66.5,49.9
Selvam Coirs,Kangeyam,2027,FQ1,97.0,59.25,23.711,0.323,Low,58.6,44.4
V Coir,Peravurani,2027,FQ1,128.0,70.0,0.0,0.322,Low,81.6,60.9
Arun Coir Exime,Kangeyam,2027,FQ1,448.0,493.0,16.518,0.322,Low,487.7,370.3
Sarvana Gugan Coirs,Kangeyam,2027,FQ1,398.0,441.25,12.06,0.322,Low,436.5,331.4
Karvembu Coir,Kangeyam,2027,FQ1,119.0,86.0,36.975,0.322,Low,85.1,64.6
Anbu Fiber,Madurai,2027,FQ1,150.0,97.0,0.0,0.322,Low,105.3,79.2
ATA Coir,Pollachi,2027,FQ1,119.0,66.25,58.824,0.321,Low,35.3,29.3
Om Sakthi Fiber,Peravurani,2027,FQ1,24.0,133.75,100.0,0.321,Low,155.9,116.6
KMMR Industries,Madurai,2027,FQ1,147.0,124.75,13.605,0.319,Low,135.4,102.1
Abirami Fibres,Peravurani,2027,FQ1,89.0,39.5,13.483,0.318,Low,46.1,34.6
Vishu Fibers,Pollachi,2027,FQ1,160.0,96.25,56.25,0.317,Low,51.3,42.7
Thraviyam Coco Products,Madurai,2027,FQ1,92.0,36.5,0.0,0.316,Low,39.6,30.0
Almighty Fibres,Madurai,2027,FQ1,265.0,215.25,0.0,0.315,Low,233.7,177.0
Classic Coir india,Kangeyam,2027,FQ1,174.0,188.75,58.046,0.315,Low,186.7,142.8
KPS Amman Fiber,Pollachi,2027,FQ1,331.0,225.0,0.0,0.315,Low,120.0,99.9
Hayagreever Coirs,Kangeyam,2027,FQ1,418.0,430.0,5.502,0.313,Low,425.4,326.0
Thuran Coir Mills,Pollachi,2027,FQ1,120.0,34.25,0.0,0.312,Low,18.3,15.3
Radient Coir,Kangeyam,2027,FQ1,170.0,157.0,41.176,0.312,Low,155.3,119.1
Ten Star Coir Pith Block,Pollachi,2027,FQ1,295.0,201.25,15.593,0.311,Low,107.3,89.6
Sivamayam Fibers,Kangeyam,2027,FQ1,117.0,79.0,21.368,0.311,Low,78.2,60.0
VMM Coco,Madurai,2027,FQ1,115.0,107.5,59.13,0.311,Low,116.7,88.8
Sri V Rangasamy Agencies,Kangeyam,2027,FQ1,184.0,119.5,0.0,0.311,Low,118.2,90.8
SJ Bio Root Coir,Kangeyam,2027,FQ1,122.0,73.25,40.984,0.31,Low,72.5,55.7
Sri Hari Fiber,Kangeyam,2027,FQ1,217.0,180.25,22.12,0.308,Low,178.3,137.2
Meenakchi Fiber,Salem,2027,FQ1,300.0,189.0,0.0,0.308,Low,170.4,132.4
BN Coirs,Madurai,2027,FQ1,142.0,85.25,13.38,0.306,Low,92.5,70.7
PR Export,Kangeyam,2027,FQ1,272.0,313.25,8.824,0.306,Low,309.9,239.1
Senthil Vinayaga Coirs,Peravurani,2027,FQ1,149.0,72.5,0.0,0.303,Low,84.5,64.4
Sri Ponkalaiamman Fibers,Salem,2027,FQ1,186.0,198.25,100.0,0.302,Low,178.7,139.7
SHREE VETRRI VINAYAGAR FIBRES,Pollachi,2027,FQ1,323.0,233.5,30.341,0.302,Low,124.5,104.5
Sri Ganapathi Fibres,Kangeyam,2027,FQ1,150.0,172.5,83.333,0.3,Low,170.7,132.5
Dhanalakshmi Coir,Pollachi,2027,FQ1,161.0,99.25,61.491,0.3,Low,52.9,44.5
Vijayalakshmi Fibres,Pollachi,2027,FQ1,112.0,90.0,100.0,0.299,Low,48.0,40.4
Gogulkrishna coir Export,Pollachi,2027,FQ1,248.0,158.5,19.355,0.299,Low,84.5,71.1
Sri Omkara Traders,Pollachi,2027,FQ1,280.0,132.5,0.0,0.298,Low,70.7,59.5
Coco Craft,Madurai,2027,FQ1,148.0,121.5,16.892,0.292,Low,131.9,102.2
PK Coco Fibre,Kangeyam,2027,FQ1,65.0,42.25,69.231,0.292,Low,41.8,32.7
AL-Matin Coir Exports,Madurai,2027,FQ1,58.0,34.5,62.069,0.29,Low,37.4,29.1
Thirukumaran Fibers,Pollachi,2027,FQ1,745.0,755.669,0.0,0.288,Low,403.0,341.4
Muthukumar Fiber,Madurai,2027,FQ1,16.0,26.0,100.0,0.288,Low,28.2,22.0
Palaniyanadvar Pith Block,Kangeyam,2027,FQ1,573.0,668.669,44.503,0.286,Low,661.5,519.9
Global Coco,Kangeyam,2027,FQ1,226.0,194.0,45.133,0.286,Low,191.9,150.9
Menachi Coir,Pollachi,2027,FQ1,166.0,112.5,84.94,0.284,Low,60.0,50.9
Udyam Coirs,Kangeyam,2027,FQ1,75.0,23.75,33.333,0.284,Low,23.5,18.5
Veera Coir,Madurai,2027,FQ1,84.0,83.75,100.0,0.281,Low,90.9,71.2
Annai Fibers,Madurai,2027,FQ1,10.0,5.0,100.0,0.28,Low,5.4,4.2
Krishna Fibers,Kangeyam,2027,FQ1,26.0,18.75,100.0,0.28,Low,18.5,14.6
Selvakarthipan Fibres,Kangeyam,2027,FQ1,100.0,80.25,75.0,0.28,Low,79.4,62.8
Mahalakshmi Fiber,Kangeyam,2027,FQ1,198.0,92.75,0.0,0.279,Low,91.8,72.6
AP Agro,Pollachi,2027,FQ1,169.0,126.25,100.0,0.279,Low,67.3,57.3
Rani Coir,Kangeyam,2027,FQ1,120.0,35.0,0.0,0.276,Low,34.6,27.5
RM Coconut Marchent,Madurai,2027,FQ1,101.0,106.0,87.129,0.275,Low,115.1,90.7
Surya Coir,Kangeyam,2027,FQ1,82.0,63.5,69.512,0.275,Low,62.8,49.9
Ayangaran Coirs,Madurai,2027,FQ1,41.0,40.25,100.0,0.275,Low,43.7,34.5
Selva coco Fibre,Salem,2027,FQ1,424.0,320.25,5.896,0.271,Low,288.7,232.3
Kaaruniya Coir Industries,Madurai,2027,FQ1,22.0,16.75,100.0,0.269,Low,18.2,14.4
Bhakiyam Fibers,Madurai,2027,FQ1,151.0,121.25,59.603,0.269,Low,131.6,104.4
Hyther Ali Coconut Merchant,Madurai,2027,FQ1,42.0,38.5,100.0,0.267,Low,41.8,33.2
Aakavi Coir,Kangeyam,2027,FQ1,72.0,73.0,100.0,0.267,Low,72.2,57.8
JPM Coirs,Madurai,2027,FQ1,74.0,76.5,100.0,0.266,Low,83.0,66.0
Ganesh Coirs,Kangeyam,2027,FQ1,48.0,42.25,100.0,0.266,Low,41.8,33.5
Karthika Coirs (70-30),Madurai,2027,FQ1,454.0,411.0,9.692,0.265,Low,446.1,355.0
Kalpathur Substrate,Pollachi,2027,FQ1,272.0,115.667,45.221,0.264,Low,61.7,53.0
Sai Balaji Coir,Kangeyam,2027,FQ1,250.0,268.0,10.0,0.262,Low,265.1,213.2
Bio Thermal,Kangeyam,2027,FQ1,525.0,450.0,0.0,0.261,Low,445.2,358.3
Sri Krishna Fibres,Madurai,2027,FQ1,283.0,219.5,28.975,0.259,Low,238.3,190.7
Sri Annamalayar Coirs,Kangeyam,2027,FQ1,318.0,123.0,0.0,0.256,Low,121.7,98.4
Anand Coir,Peravurani,2027,FQ1,323.0,223.75,19.814,0.255,Low,260.9,208.7
Ganapathy Fibers,Pollachi,2027,FQ1,419.0,297.25,35.561,0.25,Low,158.5,137.4
Jayam Coir,Kangeyam,2027,FQ1,61.0,67.5,100.0,0.25,Low,66.8,54.3
SS FIBERS & COIRS,Madurai,2027,FQ1,72.0,39.75,88.889,0.25,Low,43.1,34.8
RS Coir,Kangeyam,2027,FQ1,325.0,161.25,0.0,0.248,Low,159.5,130.0
Raja Fibre Industry,Salem,2027,FQ1,472.0,331.75,4.661,0.248,Low,299.0,245.5
Winner Coirs,Pollachi,2027,FQ1,547.0,421.75,8.775,0.245,Low,224.9,195.6
Siva Sanju Fibers (LEC),Madurai,2027,FQ1,470.0,384.0,0.0,0.245,Low,416.8,338.2
S J Coir,Madurai,2027,FQ1,194.0,105.25,53.608,0.243,Low,114.2,92.8
Barani Fibers,Kangeyam,2027,FQ1,146.0,120.25,100.0,0.24,Low,119.0,97.7
RP Pith Blocks,Madurai,2027,FQ1,284.0,194.0,44.718,0.238,Low,210.6,172.0
Srinivasa Agro Products,Madurai,2027,FQ1,370.0,308.25,10.811,0.235,Low,334.6,274.0
Deva Coir,Kangeyam,2027,FQ1,301.0,213.0,10.299,0.235,Low,210.7,173.7
Sri Palaniyandavar Fibres,Kangeyam,2027,FQ1,400.0,371.25,62.5,0.234,Low,367.3,303.1
Vishnu Fibres,Kangeyam,2027,FQ1,292.0,206.5,91.438,0.226,Low,204.3,169.8
Ramesh Coir,Kangeyam,2027,FQ1,235.0,181.25,62.979,0.224,Low,179.3,149.2
Sri Annamar Fibres,Kangeyam,2027,FQ1,226.0,180.0,100.0,0.223,Low,178.1,148.4
Ganesan Coco Product,Salem,2027,FQ1,419.0,220.25,6.444,0.213,Low,198.5,168.0
Narayana Coirs,Salem,2027,FQ1,500.0,296.0,5.0,0.209,Low,266.8,226.5
Anathi Fiber,Madurai,2027,FQ1,494.0,324.0,0.0,0.206,Low,351.7,296.1
Iniya Coir,Kangeyam,2027,FQ1,836.0,780.337,49.761,0.203,Low,772.0,654.7
PNK Coir,Kangeyam,2027,FQ1,285.0,199.0,82.807,0.203,Low,196.9,167.1
Dhananya Coir,Kangeyam,2027,FQ1,527.0,403.75,18.975,0.192,Low,399.4,342.1
Sri Kandiyamman Fibres,Kangeyam,2027,FQ1,523.0,470.0,71.319,0.192,Low,465.0,398.4
Brown Spring,Kangeyam,2027,FQ1,420.0,358.0,23.095,0.19,Low,354.2,304.0
Ganapathy Coir,Kangeyam,2027,FQ1,428.0,169.25,0.0,0.182,Low,167.4,144.6
Thulasiamman Coir Industry,Salem,2027,FQ1,670.0,397.75,0.0,0.163,Low,358.5,316.3
SS Fibre,Kangeyam,2027,FQ1,544.0,254.5,36.949,0.146,Low,251.8,224.3
Sri Ragavendra Coir Products,Pollachi,2027,FQ1,945.675,653.919,13.218,0.145,Low,348.7,321.9
Sri Kumaran Coirs,Kangeyam,2027,FQ1,569.0,255.0,17.399,0.129,Low,252.3,227.9
Amman Coir,Kangeyam,2027,FQ1,960.0,708.25,34.375,0.115,Low,700.7,640.4
